id,Title,CreationDate,question,answer,views,votes,AnswerCount,Tags
"57007007","OpenVINO: How to build OpenCV with Inference Engine to enable loading models from Model Optimizer","2019-07-12 12:26:19","<p>I installed OpenVINO and want to run the following code on windows 10. </p>

<pre><code>import numpy as np
import cv2
import sys

from get_face_id import face_id_getter
from check import check
from win10toast import ToastNotifier 

FP = 32

targetId = 0
toaster = None

if '-use_notifications' in sys.argv:
    toaster = ToastNotifier() 

if len(sys.argv) &gt; 1 and '-m' in sys.argv:
    FP =  16
    targetId = cv2.dnn.DNN_TARGET_MYRIAD



cap = cv2.VideoCapture(0)

getter = None

if '-get_face_id' in sys.argv:
    getter = face_id_getter()

weights = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.bin'.format(FP)
config = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.xml'.format(FP)

weights_emotions, config_emotions, emotions = None, None, None



if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    weights_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.bin'.format(FP)
    config_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.xml'.format(FP)
framework = 'DLDT'

model = cv2.dnn.readNet(weights, config, framework)
model.setPreferableTarget(targetId=targetId)

if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    emotions = cv2.dnn.readNet(weights_emotions, config_emotions, framework)
    emotions.setPreferableTarget(targetId=targetId)

emotions_decode = ('neutral', 'happy', 'sad', 'surprise', 'anger')

names = [""Plotnikov Egor"", ""Vainberg Roman"", ""Sataev Emil"", ""Unknown person""]

emotion_text = None

while(True):
    ret, frame = cap.read()

    blob = cv2.dnn.blobFromImage(frame, size=(672, 384), crop=False)

    have_nots = False

    model.setInput(blob)
    ans = model.forward()
    for i in range(0, 200):
        x_min, y_min, x_max, y_max = np.array(ans[0, 0, i, 3:7]) * np.array([640, 480, 640, 480])
        if ans[0, 0, i, 2] &gt; 0.5:
            cv2.rectangle(frame, (int(x_min), int(y_min)), (int(x_max), int(y_max)), ( 0, 255, 255))

            if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
                blob_emotions = cv2.dnn.blobFromImage(frame[int(y_min):int(y_max), int(x_min):int(x_max)], size=(64, 64), crop=False)
                emotions.setInput(blob_emotions)
                ans_emotions = emotions.forward()[0, : , 0 , 0]
                ans_emotions = list(map(lambda x: 1 if x &gt; 0.5 else 0, ans_emotions))
                _t = ''.join(list(map(str,ans_emotions))).find('1')
                if _t == -1:
                    _t = 0
                emotion_text = emotions_decode[_t]

            if '-get_face_id' in sys.argv:
                _ans = getter.get_answer(frame[int(y_min):int(y_max), int(x_min):int(x_max)])

                t = check('labels.txt', _ans)
                #print(names[t])
                font = cv2.FONT_HERSHEY_SIMPLEX 
                cv2.putText(frame,names[t],(int(x_min), int(y_min)), font, 1,(255,255,255),2,cv2.LINE_AA)
                if emotion_text != None:
                    cv2.putText(frame,emotion_text,(int(x_min), int(y_max)), font, 1,(255,255,255),2,cv2.LINE_AA)

            if '-use_notifications' in sys.argv and not have_nots:
                toaster.show_toast(""Welcome, "" + names[t],"""")
                have_nots = True

    cv2.imshow('frame',frame)

    if cv2.waitKey(1) &amp; 0xFF == ord('q'):
        break


cap.release()
cv2.destroyAllWindows() 
</code></pre>

<p>I want to run a pre-trained OpenVINO model, but get the error:</p>

<pre><code>v\modules\dnn\src\dnn.cpp:2670: error: (-2:Unspecified error) Build OpenCV with Inference Engine to enable loading models from Model Optimizer. in function 'cv::dnn::dnn4_v20190122::Net::readFromModelOptimizer'
</code></pre>

<p>I need to build OpenCV with Inference Engine. I'm not experienced in programming and don't know what this means.</p>

<p>When I try this:
<a href=""https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend"" rel=""nofollow noreferrer"">https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend</a></p>

<p>and try</p>

<pre><code>cmake \
  -DWITH_INF_ENGINE=ON \
  -DENABLE_CXX11=ON \
  ...
</code></pre>

<p>in the C:\Program Files (x86)\IntelSWTools\openvino_2019.1.148\opencv\samples
it gives an error saying: </p>

<pre><code>CMake Error: The source directory ""C:/Program Files (x86)/IntelSWTools/openvino_2019.1.148/opencv/samples/..."" does not appear to contain CMakeLists.txt.
</code></pre>

<p>even though there is a CMakeLists.txt in that folder.</p>

<p>Can someone please help me?</p>
","<p>You can just use OpenCV from OpenVINO. It's already compiled with Intel's Inference Engine.</p>
","6440","2","3","<python><opencv><cmake><openvino>"
"57007007","OpenVINO: How to build OpenCV with Inference Engine to enable loading models from Model Optimizer","2019-07-12 12:26:19","<p>I installed OpenVINO and want to run the following code on windows 10. </p>

<pre><code>import numpy as np
import cv2
import sys

from get_face_id import face_id_getter
from check import check
from win10toast import ToastNotifier 

FP = 32

targetId = 0
toaster = None

if '-use_notifications' in sys.argv:
    toaster = ToastNotifier() 

if len(sys.argv) &gt; 1 and '-m' in sys.argv:
    FP =  16
    targetId = cv2.dnn.DNN_TARGET_MYRIAD



cap = cv2.VideoCapture(0)

getter = None

if '-get_face_id' in sys.argv:
    getter = face_id_getter()

weights = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.bin'.format(FP)
config = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.xml'.format(FP)

weights_emotions, config_emotions, emotions = None, None, None



if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    weights_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.bin'.format(FP)
    config_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.xml'.format(FP)
framework = 'DLDT'

model = cv2.dnn.readNet(weights, config, framework)
model.setPreferableTarget(targetId=targetId)

if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    emotions = cv2.dnn.readNet(weights_emotions, config_emotions, framework)
    emotions.setPreferableTarget(targetId=targetId)

emotions_decode = ('neutral', 'happy', 'sad', 'surprise', 'anger')

names = [""Plotnikov Egor"", ""Vainberg Roman"", ""Sataev Emil"", ""Unknown person""]

emotion_text = None

while(True):
    ret, frame = cap.read()

    blob = cv2.dnn.blobFromImage(frame, size=(672, 384), crop=False)

    have_nots = False

    model.setInput(blob)
    ans = model.forward()
    for i in range(0, 200):
        x_min, y_min, x_max, y_max = np.array(ans[0, 0, i, 3:7]) * np.array([640, 480, 640, 480])
        if ans[0, 0, i, 2] &gt; 0.5:
            cv2.rectangle(frame, (int(x_min), int(y_min)), (int(x_max), int(y_max)), ( 0, 255, 255))

            if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
                blob_emotions = cv2.dnn.blobFromImage(frame[int(y_min):int(y_max), int(x_min):int(x_max)], size=(64, 64), crop=False)
                emotions.setInput(blob_emotions)
                ans_emotions = emotions.forward()[0, : , 0 , 0]
                ans_emotions = list(map(lambda x: 1 if x &gt; 0.5 else 0, ans_emotions))
                _t = ''.join(list(map(str,ans_emotions))).find('1')
                if _t == -1:
                    _t = 0
                emotion_text = emotions_decode[_t]

            if '-get_face_id' in sys.argv:
                _ans = getter.get_answer(frame[int(y_min):int(y_max), int(x_min):int(x_max)])

                t = check('labels.txt', _ans)
                #print(names[t])
                font = cv2.FONT_HERSHEY_SIMPLEX 
                cv2.putText(frame,names[t],(int(x_min), int(y_min)), font, 1,(255,255,255),2,cv2.LINE_AA)
                if emotion_text != None:
                    cv2.putText(frame,emotion_text,(int(x_min), int(y_max)), font, 1,(255,255,255),2,cv2.LINE_AA)

            if '-use_notifications' in sys.argv and not have_nots:
                toaster.show_toast(""Welcome, "" + names[t],"""")
                have_nots = True

    cv2.imshow('frame',frame)

    if cv2.waitKey(1) &amp; 0xFF == ord('q'):
        break


cap.release()
cv2.destroyAllWindows() 
</code></pre>

<p>I want to run a pre-trained OpenVINO model, but get the error:</p>

<pre><code>v\modules\dnn\src\dnn.cpp:2670: error: (-2:Unspecified error) Build OpenCV with Inference Engine to enable loading models from Model Optimizer. in function 'cv::dnn::dnn4_v20190122::Net::readFromModelOptimizer'
</code></pre>

<p>I need to build OpenCV with Inference Engine. I'm not experienced in programming and don't know what this means.</p>

<p>When I try this:
<a href=""https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend"" rel=""nofollow noreferrer"">https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend</a></p>

<p>and try</p>

<pre><code>cmake \
  -DWITH_INF_ENGINE=ON \
  -DENABLE_CXX11=ON \
  ...
</code></pre>

<p>in the C:\Program Files (x86)\IntelSWTools\openvino_2019.1.148\opencv\samples
it gives an error saying: </p>

<pre><code>CMake Error: The source directory ""C:/Program Files (x86)/IntelSWTools/openvino_2019.1.148/opencv/samples/..."" does not appear to contain CMakeLists.txt.
</code></pre>

<p>even though there is a CMakeLists.txt in that folder.</p>

<p>Can someone please help me?</p>
","<p>You should add OpenCV to your environment variables.</p>

<p>Open environment variables window: Type <code>environment variables</code> in search box. </p>

<p>Edit <code>Path</code> from <code>System Variables</code>, insert OpenCV path as your installation path. In my case, I added and able to work with it. </p>

<pre><code>C:\Program Files (x86)\IntelSWTools\openvino\opencv\bin
</code></pre>

<p>You also need to check for preferable backend and target to pick inference backend and target hardware.</p>

<p>see following API references: </p>

<ul>
<li><a href=""https://docs.opencv.org/master/d6/d0f/group__dnn.html"" rel=""nofollow noreferrer"">https://docs.opencv.org/master/d6/d0f/group__dnn.html</a> </li>
<li><a href=""https://docs.opencv.org/3.4/db/d30/classcv_1_1dnn_1_1Net.html#a7f767df11386d39374db49cd8df8f59e"" rel=""nofollow noreferrer"">https://docs.opencv.org/3.4/db/d30/classcv_1_1dnn_1_1Net.html#a7f767df11386d39374db49cd8df8f59e</a> </li>
<li><a href=""https://docs.opencv.org/3.4/db/d30/classcv_1_1dnn_1_1Net.html#a9dddbefbc7f3defbe3eeb5dc3d3483f4"" rel=""nofollow noreferrer"">https://docs.opencv.org/3.4/db/d30/classcv_1_1dnn_1_1Net.html#a9dddbefbc7f3defbe3eeb5dc3d3483f4</a></li>
</ul>
","6440","2","3","<python><opencv><cmake><openvino>"
"57007007","OpenVINO: How to build OpenCV with Inference Engine to enable loading models from Model Optimizer","2019-07-12 12:26:19","<p>I installed OpenVINO and want to run the following code on windows 10. </p>

<pre><code>import numpy as np
import cv2
import sys

from get_face_id import face_id_getter
from check import check
from win10toast import ToastNotifier 

FP = 32

targetId = 0
toaster = None

if '-use_notifications' in sys.argv:
    toaster = ToastNotifier() 

if len(sys.argv) &gt; 1 and '-m' in sys.argv:
    FP =  16
    targetId = cv2.dnn.DNN_TARGET_MYRIAD



cap = cv2.VideoCapture(0)

getter = None

if '-get_face_id' in sys.argv:
    getter = face_id_getter()

weights = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.bin'.format(FP)
config = 'face-detection-adas-0001/FP{}/face-detection-adas-0001.xml'.format(FP)

weights_emotions, config_emotions, emotions = None, None, None



if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    weights_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.bin'.format(FP)
    config_emotions = 'emotions-recognition-retail-0003/FP{}/emotions-recognition-retail-0003.xml'.format(FP)
framework = 'DLDT'

model = cv2.dnn.readNet(weights, config, framework)
model.setPreferableTarget(targetId=targetId)

if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
    emotions = cv2.dnn.readNet(weights_emotions, config_emotions, framework)
    emotions.setPreferableTarget(targetId=targetId)

emotions_decode = ('neutral', 'happy', 'sad', 'surprise', 'anger')

names = [""Plotnikov Egor"", ""Vainberg Roman"", ""Sataev Emil"", ""Unknown person""]

emotion_text = None

while(True):
    ret, frame = cap.read()

    blob = cv2.dnn.blobFromImage(frame, size=(672, 384), crop=False)

    have_nots = False

    model.setInput(blob)
    ans = model.forward()
    for i in range(0, 200):
        x_min, y_min, x_max, y_max = np.array(ans[0, 0, i, 3:7]) * np.array([640, 480, 640, 480])
        if ans[0, 0, i, 2] &gt; 0.5:
            cv2.rectangle(frame, (int(x_min), int(y_min)), (int(x_max), int(y_max)), ( 0, 255, 255))

            if len(sys.argv) &gt; 1 and '-use_emotions' in sys.argv:
                blob_emotions = cv2.dnn.blobFromImage(frame[int(y_min):int(y_max), int(x_min):int(x_max)], size=(64, 64), crop=False)
                emotions.setInput(blob_emotions)
                ans_emotions = emotions.forward()[0, : , 0 , 0]
                ans_emotions = list(map(lambda x: 1 if x &gt; 0.5 else 0, ans_emotions))
                _t = ''.join(list(map(str,ans_emotions))).find('1')
                if _t == -1:
                    _t = 0
                emotion_text = emotions_decode[_t]

            if '-get_face_id' in sys.argv:
                _ans = getter.get_answer(frame[int(y_min):int(y_max), int(x_min):int(x_max)])

                t = check('labels.txt', _ans)
                #print(names[t])
                font = cv2.FONT_HERSHEY_SIMPLEX 
                cv2.putText(frame,names[t],(int(x_min), int(y_min)), font, 1,(255,255,255),2,cv2.LINE_AA)
                if emotion_text != None:
                    cv2.putText(frame,emotion_text,(int(x_min), int(y_max)), font, 1,(255,255,255),2,cv2.LINE_AA)

            if '-use_notifications' in sys.argv and not have_nots:
                toaster.show_toast(""Welcome, "" + names[t],"""")
                have_nots = True

    cv2.imshow('frame',frame)

    if cv2.waitKey(1) &amp; 0xFF == ord('q'):
        break


cap.release()
cv2.destroyAllWindows() 
</code></pre>

<p>I want to run a pre-trained OpenVINO model, but get the error:</p>

<pre><code>v\modules\dnn\src\dnn.cpp:2670: error: (-2:Unspecified error) Build OpenCV with Inference Engine to enable loading models from Model Optimizer. in function 'cv::dnn::dnn4_v20190122::Net::readFromModelOptimizer'
</code></pre>

<p>I need to build OpenCV with Inference Engine. I'm not experienced in programming and don't know what this means.</p>

<p>When I try this:
<a href=""https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend"" rel=""nofollow noreferrer"">https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend</a></p>

<p>and try</p>

<pre><code>cmake \
  -DWITH_INF_ENGINE=ON \
  -DENABLE_CXX11=ON \
  ...
</code></pre>

<p>in the C:\Program Files (x86)\IntelSWTools\openvino_2019.1.148\opencv\samples
it gives an error saying: </p>

<pre><code>CMake Error: The source directory ""C:/Program Files (x86)/IntelSWTools/openvino_2019.1.148/opencv/samples/..."" does not appear to contain CMakeLists.txt.
</code></pre>

<p>even though there is a CMakeLists.txt in that folder.</p>

<p>Can someone please help me?</p>
","<p>For me, the solution was to remove the OpenCV Python libraries and install <em>opencv-python-inference-engine</em></p>

<pre><code>pip3 uninstall opencv-python
pip3 uninstall opencv-contrib-python
pip3 install opencv-python-inference-engine
</code></pre>
","6440","2","3","<python><opencv><cmake><openvino>"
"58264381","python ImportError Openvino by script and by shell","2019-10-07 06:23:26","<p>When I run python script by command <code>sudo python script.py</code> I get error in the line</p>

<pre><code>from openvino.inference_engine import IENetwork, IECore
</code></pre>

<p>The error is</p>

<pre><code>ImportError: No module named openvino.inference_engine
</code></pre>

<p>But When I open the python shell and run </p>

<pre><code>from openvino.inference_engine import IENetwork, IECore
</code></pre>

<p>I don't get this error.</p>

<p>What is the reason for the difference and how to fix this error?</p>
","<p>The issue you are facing is because the inference engine path is not found in the path variable. In openvino the path variables such as the path to openvino inference engine are setup for user by running the setupvars.sh shell script in the below path:</p>

<p>intel/openvino_2019.1.144/bin/setupvars.sh</p>

<p>The path variables are set specific to the user and are not present in the path variable for the sudo user. So when you run the python script using ""<code>sudo python script.py</code>"" you get the module not found error as the path variables for openvino are not rightly set for sudo.</p>

<p>If you open the setupvars.sh you can see all path variable are set without sudo like the below example</p>

<pre><code>export PATH=~/intel/openvino_2019.2.242/python/python3.7:$PATH
</code></pre>

<p>**</p>

<h2>Resolution</h2>

<p>**
To resolve your error you can use any of the two below alternatives:</p>

<p>1)You can run ""<code>python script.py</code>"" which could give you your expected result.</p>

<p>2)If you want to get this packages in ""<code>sudo python script.py</code>"" you must add openvino path to the sudo path. This can be done by editing the setupvars.sh file by changing the commands used to set paths as in the below example</p>

<p>eg:</p>

<pre><code>export PATH=~/intel/openvino_2019.2.242/python/python3.7:$PATH
</code></pre>

<p>should be replaced with</p>

<pre><code>sudo PATH=~/intel/openvino_2019.2.242/python/python3.7:$PATH
</code></pre>
","5571","4","1","<python><import><sudo><openvino>"
"56754574","Channels first vs Channels last - what do these mean?","2019-06-25 12:53:54","<p><a href=""https://software.intel.com/en-us/forums/computer-vision/topic/785538"" rel=""nofollow noreferrer"">https://software.intel.com/en-us/forums/computer-vision/topic/785538</a></p>

<p>""The problem has been resolved. It's because the model I use uses channels_first as default for GPU training, while OPENVINO requires channels_last for TF models.""</p>

<p>What do these mean?</p>

<p>How can I change them? </p>

<p>I cannot find any further references to this on the net.</p>
","<p>Channels first means that in a specific tensor (consider a photo), you would have <code>(Number_Of_Channels, Height , Width)</code>.</p>
<p>Channels last means channels are on the last position in a tensor(n-dimensional array).</p>
<p>Examples:</p>
<pre><code>    (3,360,720) --- Channels first

    (360,720,3) --- Channels last
</code></pre>
<p>where 3 comes from RGB (coloured image).</p>
<p>TensorFlow has by default channels last setting in the configuration.</p>
<p>The issue comes from the fact that some obsolete now frameworks(such as <code>Theano</code>) had a channels-first approach; porting was a problem particularly for newbies.</p>
<p>The solution to your problem would be to re-train your model in &quot;Channels_Last&quot; format.</p>
","5242","2","3","<tensorflow><neural-network><deep-learning><conv-neural-network><openvino>"
"56754574","Channels first vs Channels last - what do these mean?","2019-06-25 12:53:54","<p><a href=""https://software.intel.com/en-us/forums/computer-vision/topic/785538"" rel=""nofollow noreferrer"">https://software.intel.com/en-us/forums/computer-vision/topic/785538</a></p>

<p>""The problem has been resolved. It's because the model I use uses channels_first as default for GPU training, while OPENVINO requires channels_last for TF models.""</p>

<p>What do these mean?</p>

<p>How can I change them? </p>

<p>I cannot find any further references to this on the net.</p>
","<p>You can convert TF model with NCHW layout to IR by using --disable_nhwc_to_nchw with Model Optimizer.  </p>
","5242","2","3","<tensorflow><neural-network><deep-learning><conv-neural-network><openvino>"
"56754574","Channels first vs Channels last - what do these mean?","2019-06-25 12:53:54","<p><a href=""https://software.intel.com/en-us/forums/computer-vision/topic/785538"" rel=""nofollow noreferrer"">https://software.intel.com/en-us/forums/computer-vision/topic/785538</a></p>

<p>""The problem has been resolved. It's because the model I use uses channels_first as default for GPU training, while OPENVINO requires channels_last for TF models.""</p>

<p>What do these mean?</p>

<p>How can I change them? </p>

<p>I cannot find any further references to this on the net.</p>
","<p>NCHW - channel first<br>
NHWC - channel last</p>

<p>N:batch_size, C:no.of.channels, H:input_img_height, W:input_img_width  </p>

<p>by default MKLDNN-plugin uses NCHW data layout. </p>
","5242","2","3","<tensorflow><neural-network><deep-learning><conv-neural-network><openvino>"
"57423838","Whats the right way of using openCV with openVINO?","2019-08-09 05:18:48","<p>Dislcaimer: I have never used openCV or openVINO or for the fact anything even close to ML before. However I've been slamming my head studying neural-networks(reading material online) because I've to work with intel's openVINO on an edge device.
Here's what the official documentation says about using openCV with openVINO(using openVINO's inference engine with openCV). </p>

<p>->Optimize the pretrained model with openVINO's model optimizer(creating the IR file pair)
use these IR files with</p>

<pre><code> openCV's dnn.readnet() //this is where the inference engine gets set? 
</code></pre>

<p><a href=""https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html"" rel=""nofollow noreferrer"">https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html</a></p>

<p>Tried digging more and found a third party reference. Here a difference approach is taken. </p>

<p>->Intermediatte files (bin/xml are not created. Instead caffe model file is used)</p>

<p>->the inference engine is  defined explicitly with the following line </p>

<pre><code>net.setPreferableBackend(cv2.dnn.DNN_BACKEND_INFERENCE_ENGINE)
</code></pre>

<p><a href=""https://www.learnopencv.com/using-openvino-with-opencv/"" rel=""nofollow noreferrer"">https://www.learnopencv.com/using-openvino-with-opencv/</a></p>

<p>Now I know to utilize openCV we have to use it's inference engine with pretrained models. I want to know which of the two approach is the correct(or preferred) one, and if rather I'm missing out no something. </p>
","<p>You can get started using OpenVino from: <a href=""https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_windows.html"" rel=""nofollow noreferrer"">https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_windows.html</a></p>

<p>You would require a set of pre-requsites to run your sample. OpenCV is your Computer Vision package which can used for Image processing.</p>

<p>Openvino inference requires you to convert any of your trained models(.caffemodel,.pb,etc.) to Intermediate representations(.xml,.bin) files.</p>

<p>For a better understanding and sample demos on OpenVino, watch the videos/subscribe to the OpenVino Youtube channel: <a href=""https://www.youtube.com/channel/UCkN8KINLvP1rMkL4trkNgTg"" rel=""nofollow noreferrer"">https://www.youtube.com/channel/UCkN8KINLvP1rMkL4trkNgTg</a></p>
","3956","0","3","<opencv><neural-network><conv-neural-network><openvino>"
"57423838","Whats the right way of using openCV with openVINO?","2019-08-09 05:18:48","<p>Dislcaimer: I have never used openCV or openVINO or for the fact anything even close to ML before. However I've been slamming my head studying neural-networks(reading material online) because I've to work with intel's openVINO on an edge device.
Here's what the official documentation says about using openCV with openVINO(using openVINO's inference engine with openCV). </p>

<p>->Optimize the pretrained model with openVINO's model optimizer(creating the IR file pair)
use these IR files with</p>

<pre><code> openCV's dnn.readnet() //this is where the inference engine gets set? 
</code></pre>

<p><a href=""https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html"" rel=""nofollow noreferrer"">https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html</a></p>

<p>Tried digging more and found a third party reference. Here a difference approach is taken. </p>

<p>->Intermediatte files (bin/xml are not created. Instead caffe model file is used)</p>

<p>->the inference engine is  defined explicitly with the following line </p>

<pre><code>net.setPreferableBackend(cv2.dnn.DNN_BACKEND_INFERENCE_ENGINE)
</code></pre>

<p><a href=""https://www.learnopencv.com/using-openvino-with-opencv/"" rel=""nofollow noreferrer"">https://www.learnopencv.com/using-openvino-with-opencv/</a></p>

<p>Now I know to utilize openCV we have to use it's inference engine with pretrained models. I want to know which of the two approach is the correct(or preferred) one, and if rather I'm missing out no something. </p>
","<p>If the topology that you are using is supported by OpenVino,the best way to use is the opencv that comes with openvino. For that you need to </p>

<p>1.Initialize the openvino environment by running the setupvars.bat in your openvino path(C:\Program Files (x86)\IntelSWTools\openvino\bin)</p>

<p>2.Generate the IR file (xml&amp;bin)for your model using model optimizer.</p>

<p>3.Run using inference engine samples in the path /inference_engine_samples_build/</p>

<p>If the topology is not supported, then you can go for the other procedure that you mentioned.</p>
","3956","0","3","<opencv><neural-network><conv-neural-network><openvino>"
"57423838","Whats the right way of using openCV with openVINO?","2019-08-09 05:18:48","<p>Dislcaimer: I have never used openCV or openVINO or for the fact anything even close to ML before. However I've been slamming my head studying neural-networks(reading material online) because I've to work with intel's openVINO on an edge device.
Here's what the official documentation says about using openCV with openVINO(using openVINO's inference engine with openCV). </p>

<p>->Optimize the pretrained model with openVINO's model optimizer(creating the IR file pair)
use these IR files with</p>

<pre><code> openCV's dnn.readnet() //this is where the inference engine gets set? 
</code></pre>

<p><a href=""https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html"" rel=""nofollow noreferrer"">https://docs.openvinotoolkit.org/latest/_docs_install_guides_installing_openvino_raspbian.html</a></p>

<p>Tried digging more and found a third party reference. Here a difference approach is taken. </p>

<p>->Intermediatte files (bin/xml are not created. Instead caffe model file is used)</p>

<p>->the inference engine is  defined explicitly with the following line </p>

<pre><code>net.setPreferableBackend(cv2.dnn.DNN_BACKEND_INFERENCE_ENGINE)
</code></pre>

<p><a href=""https://www.learnopencv.com/using-openvino-with-opencv/"" rel=""nofollow noreferrer"">https://www.learnopencv.com/using-openvino-with-opencv/</a></p>

<p>Now I know to utilize openCV we have to use it's inference engine with pretrained models. I want to know which of the two approach is the correct(or preferred) one, and if rather I'm missing out no something. </p>
","<p>The most common issues I ran into:</p>
<ul>
<li>setupvars.bat must be run within the same terminal, or use os.environ[&quot;varname&quot;] = varvalue</li>
<li>OpenCV needs to be built with support for the inference engines (ie DLDT).  There are pre-built binaries here: <a href=""https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend"" rel=""nofollow noreferrer"">https://github.com/opencv/opencv/wiki/Intel%27s-Deep-Learning-Inference-Engine-backend</a></li>
<li>Target inference engine: net.setPreferableBackend(cv2.dnn.DNN_BACKEND_INFERENCE_ENGINE)</li>
<li>Target NCS2: net.setPreferableTarget(cv2.dnn.DNN_TARGET_MYRIAD)</li>
</ul>
<p>The OpenCV pre-built binary located in the OpenVino directory already has IE support and is also an option.</p>
<p>Note that the Neural Compute Stick 2 AKA NCS2 (OpenVino IE/VPU/MYRIAD) requires FP16 model formats (float16).  Also try to keep you image in this format to avoid conversion penalties.  You can input images as any of these formats though: FP32, FP16, U8</p>
<p>I found this guide helpful: <a href=""https://learnopencv.com/using-openvino-with-opencv/"" rel=""nofollow noreferrer"">https://learnopencv.com/using-openvino-with-opencv/</a></p>
<p>Here's an example targetting the NCS2 from <a href=""https://medium.com/sclable/intel-openvino-with-opencv-f5ad03363a38"" rel=""nofollow noreferrer"">https://medium.com/sclable/intel-openvino-with-opencv-f5ad03363a38</a>:</p>
<pre><code># Load the model.
net = cv2.dnn.readNet(ARCH_FPATH, MODEL_FPATH)

# Specify target device.
net.setPreferableBackend(cv2.dnn.DNN_BACKEND_INFERENCE_ENGINE)
net.setPreferableTarget(cv2.dnn.DNN_TARGET_MYRIAD) # NCS 2

# Read an image.
print(&quot;Processing input image...&quot;)
img = cv2.imread(IMG_FPATH)
if img is None:
    raise Exception(f'Image not found here: {IMG_FPATH}')

# Prepare input blob and perform inference
blob = cv2.dnn.blobFromImage(img, size=(672, 384), ddepth=cv2.CV_8U)
net.setInput(blob)
out = net.forward()

# Draw detected faces
for detect in out.reshape(-1, 7):
    conf = float(detect[2])
    xmin = int(detect[3] * frame.shape[1])
    ymin = int(detect[4] * frame.shape[0])
    xmax = int(detect[5] * frame.shape[1])
    ymax = int(detect[6] * frame.shape[0])
    
    if conf &gt; CONF_THRESH:
        cv2.rectangle(img, (xmin, ymin), (xmax, ymax), color=(0, 255, 0))
</code></pre>
<p>There are more samples here (jupyter notebook/python): <a href=""https://github.com/sclable/openvino_opencv"" rel=""nofollow noreferrer"">https://github.com/sclable/openvino_opencv</a></p>
","3956","0","3","<opencv><neural-network><conv-neural-network><openvino>"
